qid,split,y,last_ent_tail_vec,last_lp_tail_vec
tqa:e99bbd5d2e49,train,1,"[2.181030511856079, 0.003297193441540003, 1.839721918106079, 0.2080731987953186, 0.11158168315887451, 0.10221924632787704, 0.05960755795240402, 0.0011439202353358269, 0.0008593083475716412, 1.0352723598480225, 0.011030865833163261, 0.04368229955434799, 0.0013395625865086913, 0.13757480680942535, 0.0008424082770943642, 0.0026631460059434175, 0.6899533271789551, 0.003550048917531967, 1.010770559310913, 0.9804428219795227, 1.0448590517044067, 0.6968103647232056, 0.6787233948707581, 0.009712369181215763, 0.0044395760633051395, 0.20716537535190582, 0.009571527130901814, 0.27102360129356384, 0.0009628438856452703, 0.8735190629959106, 0.17828369140625, 0.003466980531811714]","[-0.580329418182373, -0.0002972637885250151, -2.4575817584991455, -0.03249972686171532, -0.019149431958794594, -0.01443855557590723, -0.007980839349329472, -9.262132516596466e-05, -6.258291978156194e-05, -1.498065710067749, -0.001259129960089922, -0.004932378884404898, -0.000105375460407231, -0.030853960663080215, -6.317892984952778e-05, -0.00024375328212045133, -0.844311535358429, -0.00034957972820848227, -0.4866812527179718, -0.8015296459197998, -0.5873691439628601, -0.5016430616378784, -0.1772656887769699, -0.0010938619961962104, -0.00042489083716645837, -3.310209035873413, -0.0011155341053381562, -0.059084318578243256, -8.177422569133341e-05, -0.38949769735336304, -0.030646227300167084, -0.000342191313393414]"
tqa:278d3feb2c14,train,0,"[4.137699127197266, 1.8897852897644043, 3.9544835090637207, 0.0711430087685585, 1.692602515220642, 0.003342732321470976, 1.718830943107605, 1.3136581182479858, 0.4962950348854065, 1.2054780721664429, 0.5658815503120422, 0.019360678270459175, 0.0005268664099276066, 0.6211742162704468, 0.0014604536117985845, 0.0014506469015032053, 0.029563579708337784, 0.001986222807317972, 8.83756292751059e-05, 0.19658753275871277, 1.131964921951294, 1.0328060388565063, 0.00031818763818591833, 0.3536303639411926, 0.3297325372695923, 0.0026290700770914555, 0.3760918378829956, 0.6273012161254883, 1.0743640661239624, 0.36737191677093506, 0.771020770072937, 0.27623462677001953]","[-2.2482059001922607, -1.56112539768219, -2.2230770587921143, -0.011909570544958115, -3.023461103439331, -0.0003216941258870065, -1.1868337392807007, -1.9871788024902344, -0.1304420679807663, -0.4794648587703705, -0.10762350261211395, -0.002762313699349761, -3.85038583772257e-05, -0.36768895387649536, -0.0001399419124936685, -0.00013052565918769687, -0.004591992124915123, -0.00018416139937471598, -5.8412379075889476e-06, -0.0502234622836113, -0.3816252052783966, -0.7807639241218567, -2.288792165927589e-05, -0.08009698987007141, -0.07684804499149323, -0.00023195437097456306, -0.10772883147001266, -0.17651797831058502, -0.5110780596733093, -0.11700166761875153, -0.22559824585914612, -0.07407558709383011]"
tqa:a3dd904ead33,train,1,"[5.811171531677246, 3.298726797103882, 5.290450096130371, 1.1297502517700195, 1.620187759399414, 1.9356186389923096, 1.7979493141174316, 0.939215898513794, 0.112718366086483, 3.223501205444336, 0.9678532481193542, 2.1073858737945557, 0.10569056868553162, 0.0005839256918989122, 0.003248614026233554, 3.3386940956115723, 0.09649594873189926, 0.002726732287555933, 0.004000373650342226, 4.026917457580566, 2.926508903503418, 1.0883244276046753, 0.8377964496612549, 0.01551852747797966, 1.234532356262207, 1.1587862968444824, 0.5852892398834229, 0.0014135066885501146, 0.0008139826240949333, 4.2353309254394844e-05, 1.2786402702331543, 2.974079132080078]","[-2.74250864982605, -1.2809125185012817, -3.193608045578003, -1.64865243434906, -0.9154468774795532, -1.5014837980270386, -0.7362279295921326, -0.23025132715702057, -0.023343509063124657, -1.326364278793335, -0.1775737702846527, -0.7902945280075073, -0.020124422386288643, -4.017272294731811e-05, -0.0003343261778354645, -1.3449989557266235, -0.015963604673743248, -0.00021860594279132783, -0.00041416651220060885, -2.0168745517730713, -1.0763120651245117, -1.0021973848342896, -0.14607477188110352, -0.001774761825799942, -0.8786169290542603, -0.7571945786476135, -1.4342020750045776, -0.00013660451804753393, -6.747018051100895e-05, -2.622600959512056e-06, -1.4703634977340698, -1.4138352870941162]"
tqa:2d9b30a7be71,train,1,"[2.5823135375976562, 0.20388628542423248, 3.9727120399475098, 0.007247592322528362, 0.31297406554222107, 1.656425952911377, 0.038754671812057495, 2.0663886070251465, 0.1532965451478958, 2.3266966342926025, 0.04665124788880348, 0.8088110685348511, 2.372283458709717, 0.5687635540962219, 2.242629051208496, 0.21424540877342224, 0.6119991540908813, 0.9313873052597046, 0.01061930414289236, 1.2603754997253418, 0.23951002955436707, 0.0015289500588551164, 0.8962830305099487, 0.0007819927996024489, 6.051490345271304e-05, 0.0006375666125677526, 0.0016074266750365496, 0.003380449255928397, 0.00016555229376535863, 0.31878653168678284, 0.0025078197941184044, 2.0113298892974854]","[-0.7131102681159973, -0.03338339179754257, -1.5488077402114868, -0.0007974305190145969, -0.09239247441291809, -1.2962158918380737, -0.004327219445258379, -1.2004923820495605, -0.0326138474047184, -1.2314777374267578, -0.005801268853247166, -0.22512494027614594, -2.20326566696167, -0.29303938150405884, -1.8685768842697144, -0.049148816615343094, -0.2512879967689514, -2.4616684913635254, -0.0011239885352551937, -1.0029089450836182, -0.036942675709724426, -0.00012337400403339416, -0.14163269102573395, -5.9602869441732764e-05, -3.6954811548639555e-06, -4.994744449504651e-05, -0.0001280225842492655, -0.0003233625029679388, -1.1801649634435307e-05, -0.07399344444274902, -0.00023636408150196075, -1.2705389261245728]"
tqa:410ef58398c6,val,0,"[3.196072578430176, 1.8242344856262207, 1.1731133460998535, 3.7528128623962402, 4.052618980407715, 2.787156820297241, 0.344950795173645, 0.0019527813419699669, 1.5202434062957764, 1.4800333976745605, 2.8462703227996826, 0.010736359283328056, 0.9788402318954468, 2.6106619834899902, 0.003767896443605423, 1.0458424091339111, 1.7073184251785278, 0.37655073404312134, 0.1848938763141632, 0.15478527545928955, 1.8796486854553223, 0.004850365221500397, 0.24934914708137512, 0.22763045132160187, 0.07843215018510818, 0.138188436627388, 0.0009204081725329161, 0.0001514017058070749, 0.24763262271881104, 0.09339292347431183, 0.013290945440530777, 0.0017316839657723904]","[-1.2690942287445068, -0.6471248269081116, -0.5842294692993164, -1.376138687133789, -1.6058508157730103, -0.7825642228126526, -0.055084388703107834, -0.00017474555352237076, -0.5169627666473389, -0.6709827184677124, -1.0096209049224854, -0.0009421439026482403, -1.8212671279907227, -0.529349684715271, -0.0004101150552742183, -0.511192262172699, -1.0128413438796997, -0.041317593306303024, -0.034996919333934784, -0.02385079115629196, -0.9026564955711365, -0.0004170263418927789, -0.045824337750673294, -0.033357568085193634, -0.013246625661849976, -0.02821763977408409, -7.319182623177767e-05, -9.536697689327411e-06, -0.06766203790903091, -0.012748176231980324, -0.0014828173443675041, -0.00013386306818574667]"
tqa:62d655e6694a,train,1,"[2.22101092338562, 1.964619755744934, 0.024563517421483994, 0.40101876854896545, 0.3007585406303406, 0.02522255852818489, 0.39488884806632996, 0.00020768909598700702, 0.0003814493538811803, 0.00023808957485016435, 0.7266937494277954, 1.7458797693252563, 1.1646088361740112, 1.408652424812317, 1.5113365650177002, 1.4913058280944824, 1.2456551790237427, 0.2228466272354126, 1.9190902709960938, 0.6176187992095947, 1.0096669029735494e-05, 0.7260900139808655, 2.0096802711486816, 0.5715814828872681, 0.8745441436767578, 0.6892513036727905, 0.6574316620826721, 0.41044506430625916, 1.0428221225738525, 0.42564284801483154, 1.466521978378296, 1.8688459396362305]","[-0.8874019384384155, -1.0335710048675537, -0.002872628625482321, -0.09642764925956726, -0.08997710049152374, -0.0038080336526036263, -0.09740835428237915, -1.5020257706055418e-05, -3.0278701160568744e-05, -1.7523612768854946e-05, -0.36211422085762024, -0.8741556406021118, -0.31215372681617737, -0.3510448634624481, -0.7197970747947693, -1.108806848526001, -0.4207400679588318, -0.034836214035749435, -1.3307973146438599, -0.2615538239479065, -4.768370445162873e-07, -0.27648770809173584, -1.2158441543579102, -0.20363427698612213, -0.26420357823371887, -0.4214361906051636, -0.26897430419921875, -0.12514473497867584, -0.26038745045661926, -0.06820312142372131, -0.512452244758606, -1.31475830078125]"
tqa:a6737dd80e50,train,1,"[2.74444317817688, 2.993480682373047, 3.458247661590576, 2.0688040256500244, 2.0134496688842773, 2.159191846847534, 3.8672616481781006, 1.0134118795394897, 2.968674421310425, 1.302461862564087, 0.0031296375673264265, 1.9770185947418213, 2.1937060356140137, 1.411683440208435, 2.3412411212921143, 1.6804115772247314, 0.8909555077552795, 1.4566566944122314, 1.4536499977111816, 1.5266036987304688, 1.42350435256958, 0.4842068552970886, 2.7523064613342285, 2.2696075439453125, 2.412137031555176, 0.02121162787079811, 2.4609603881835938, 0.0035641437862068415, 0.2807193696498871, 1.543755292892456, 0.9827660918235779, 2.2061750888824463]","[-0.753681480884552, -1.3396902084350586, -1.7837544679641724, -0.8622304797172546, -0.8739229440689087, -0.5756426453590393, -1.5827332735061646, -0.5064549446105957, -0.8752268552780151, -0.3090299963951111, -0.00026425207033753395, -0.7748991250991821, -1.4162335395812988, -0.8694324493408203, -0.8786700963973999, -0.7193259596824646, -0.21326665580272675, -1.3427627086639404, -0.5046083927154541, -0.7149472236633301, -0.4249735474586487, -0.09257505089044571, -0.7476618885993958, -1.5294256210327148, -0.9782789945602417, -0.002522622002288699, -1.4966070652008057, -0.0003106111544184387, -0.05197395011782646, -1.9155056476593018, -2.5164315700531006, -0.4556610584259033]"
tqa:5e051d25eb93,train,0,"[3.6452765464782715, 2.411675453186035, 1.968109369277954, 2.063998222351074, 4.034389495849609, 0.00550419557839632, 0.7660723924636841, 3.388209819793701, 0.005027432925999165, 1.1955938339233398, 2.296213150024414, 0.8281721472740173, 0.054333023726940155, 0.006667125970125198, 0.1577608287334442, 0.07656589150428772, 0.3039243519306183, 0.23628655076026917, 0.0009026898769661784, 0.0001897706970339641, 0.0865933895111084, 0.7013735771179199, 0.9890562295913696, 0.08774560689926147, 0.003811226226389408, 0.6318944096565247, 0.9399662017822266, 0.08980950713157654, 0.4565691351890564, 0.2929869294166565, 0.06346608698368073, 0.049488894641399384]","[-1.4334315061569214, -2.036440372467041, -1.7873589992523193, -0.5307331085205078, -1.6791539192199707, -0.0004593271005433053, -2.0383198261260986, -0.8863961696624756, -0.0005339150666259229, -0.552803099155426, -1.379577398300171, -0.3360612988471985, -0.008895885199308395, -0.0006249382277019322, -0.03705686703324318, -0.011820864863693714, -0.07913506031036377, -0.05806516483426094, -6.496695277746767e-05, -1.3470558769768104e-05, -0.01263152901083231, -0.39396974444389343, -1.700859546661377, -0.008217571303248405, -0.0004119024670217186, -0.1834300309419632, -0.23631404340267181, -0.01199332159012556, -0.14095909893512726, -0.056230660527944565, -0.011521468870341778, -0.007040098775178194]"
tqa:1a13c96852c0,train,0,"[1.9777369499206543, 0.0022051730193197727, 3.4430441856384277, 0.3548879623413086, 0.13394039869308472, 0.00033020289265550673, 0.00408905977383256, 0.0007753135287202895, 0.020812727510929108, 3.5297157764434814, 0.9502730965614319, 0.3004920482635498, 0.03975420072674751, 0.7781978845596313, 0.06218428537249565, 0.0003037454152945429, 0.1084275022149086, 0.00046321211266331375, 1.3205851316452026, 1.2922933101654053, 0.07799319177865982, 0.0006165600498206913, 0.003676264313980937, 0.5988525748252869, 0.9528412818908691, 0.09160233289003372, 0.10162945836782455, 0.009513333439826965, 0.05245409905910492, 0.22086277604103088, 2.3581153072882444e-05, 0.5146652460098267]","[-0.6744991540908813, -0.00021908267808612436, -1.6740480661392212, -0.0816144123673439, -0.027691813185811043, -2.455681169521995e-05, -0.0004086851258762181, -6.592056161025539e-05, -0.002441760618239641, -1.6206672191619873, -0.32607120275497437, -0.048032116144895554, -0.005229603033512831, -0.46448686718940735, -0.006535821128636599, -2.455681169521995e-05, -0.022055229172110558, -3.433168603805825e-05, -2.3385539054870605, -1.0839173793792725, -0.013770107179880142, -4.9828242481453344e-05, -0.00040415700641460717, -0.21613548696041107, -0.24504950642585754, -0.014708887785673141, -0.013585020788013935, -0.0010509926360100508, -0.0073983496986329556, -0.02896486595273018, -1.4305104514278355e-06, -0.19494149088859558]"
tqa:03f8b5d84b55,train,1,"[4.422540664672852, 4.6134490966796875, 1.508327603340149, 2.0959792137145996, 1.148686170578003, 1.6724876165390015, 2.1996493339538574, 0.7674344778060913, 0.6049366593360901, 0.18223264813423157, 0.679963231086731, 2.352506399154663, 2.850051164627075, 1.7858943939208984, 0.007191299926489592, 0.18452918529510498, 0.48113489151000977, 0.37021511793136597, 1.2847511768341064, 1.965634822845459, 0.010436917655169964, 0.04304065182805061, 2.4202635288238525, 2.453974723815918, 0.24551042914390564, 1.7265448570251465, 0.0003905348130501807, 1.0907118320465088, 1.1900410652160645, 0.6962295174598694, 0.8171970844268799, 1.004411220550537]","[-2.8192858695983887, -1.1187124252319336, -0.8351047039031982, -0.37425369024276733, -0.48657721281051636, -0.7987720966339111, -1.139136552810669, -0.2171512395143509, -0.1316407322883606, -0.02979971095919609, -0.4991329610347748, -1.311626672744751, -1.6763826608657837, -0.6865215301513672, -0.0007588367443531752, -0.03039497323334217, -0.16287162899971008, -0.08492327481508255, -0.4165971577167511, -0.998045027256012, -0.0013508014380931854, -0.005723398178815842, -0.8404422402381897, -1.2847505807876587, -0.05405256524682045, -1.6861977577209473, -2.9205850296420977e-05, -0.40148624777793884, -0.29379740357398987, -0.15788863599300385, -0.3906366229057312, -0.34511303901672363]"
