qid,split,y,last_ent_tail_vec,last_lp_tail_vec
tqa:e99bbd5d2e49,train,1,"[0.008928671479225159, 0.9692018032073975, 0.6616432666778564, 0.8028559684753418, 1.1992037296295166, 2.819823741912842, 0.5830315947532654, 0.9228782653808594, 0.41459840536117554, 0.9333666563034058, 0.015647554770112038, 0.017890390008687973, 0.0016565271653234959, 0.043879471719264984, 0.01208845991641283, 0.004484688863158226, 0.8138253688812256, 0.23349055647850037, 0.6178831458091736, 0.11686266213655472, 0.07043085992336273, 0.1445690095424652, 1.3068127632141113, 3.4208178520202637, 0.10632241517305374, 2.6044135093688965, 1.685915470123291, 0.8438524007797241, 2.5811734199523926, 1.1279380321502686, 0.7990309000015259, 0.30359765887260437]","[-0.0009288049186579883, -0.49780601263046265, -0.32945552468299866, -0.710075855255127, -0.5011686086654663, -1.5462998151779175, -0.15016363561153412, -0.17565800249576569, -0.09910047799348831, -0.42463648319244385, -0.001680272980593145, -0.002045564353466034, -0.00014423283573705703, -0.0054872604086995125, -0.0012403184082359076, -0.000390215078368783, -0.20588570833206177, -0.04172494634985924, -0.320758193731308, -0.015911631286144257, -0.010201691649854183, -0.022607918828725815, -1.0853335857391357, -0.8560984134674072, -0.009085857309401035, -0.6844733357429504, -0.39328014850616455, -0.14602088928222656, -0.5091053247451782, -0.1615089327096939, -0.19173265993595123, -0.05732282996177673]"
tqa:278d3feb2c14,train,0,"[1.7442201375961304, 1.1837526559829712, 0.20404404401779175, 2.1229660511016846, 3.1342039108276367, 2.6984121799468994, 0.05084642767906189, 0.44751936197280884, 1.4632341861724854, 1.609616756439209, 1.4376261234283447, 0.9149102568626404, 0.05377677083015442, 0.004812332801520824, 1.296334147453308, 0.004503666423261166, 1.0843281745910645, 2.543290853500366, 0.008057025261223316, 1.6721587181091309, 0.5623519420623779, 2.2041568756103516, 0.7558340430259705, 4.038872718811035, 3.013155937194824, 2.080659866333008, 0.9246811866760254, 0.21860194206237793, 1.0384480953216553, 0.2474244087934494, 0.016646435484290123, 0.7873026728630066]","[-0.5724954009056091, -0.48293590545654297, -0.044551946222782135, -1.3061940670013428, -1.2697179317474365, -1.058964490890503, -0.005602254066616297, -0.07874695956707001, -0.5310092568397522, -0.8866997957229614, -0.9196191430091858, -0.5177791118621826, -0.007524481974542141, -0.00044264530879445374, -0.7580996155738831, -0.0003849719068966806, -0.42366841435432434, -1.2011778354644775, -0.0007526425761170685, -0.6960198283195496, -0.07684462517499924, -1.321364164352417, -0.11842697858810425, -1.5663211345672607, -1.3481448888778687, -0.5191131830215454, -0.17813774943351746, -0.03496135026216507, -0.41311120986938477, -0.04426378756761551, -0.0018197420286014676, -0.18851111829280853]"
tqa:a3dd904ead33,train,0,"[0.09832745790481567, 0.13354870676994324, 1.1987717151641846, 2.753955602645874, 1.2680399417877197, 2.2366960048675537, 4.200479030609131, 1.4100960493087769, 1.7500836849212646, 1.3169021606445312, 1.8922282457351685, 2.3537635803222656, 4.236414909362793, 0.8807883262634277, 2.3773584365844727, 3.3772504329681396, 1.8035191297531128, 1.4506226778030396, 1.0864918231964111, 1.7919065952301025, 0.46565085649490356, 1.353200912475586, 1.1710187196731567, 2.007575750350952, 0.7867437601089478, 0.26469138264656067, 0.00440767640247941, 1.3978955745697021, 2.7720630168914795, 3.0491371154785156, 2.6868584156036377, 0.02563987486064434]","[-0.013882153667509556, -0.017880089581012726, -0.4096703827381134, -1.0900424718856812, -0.22597908973693848, -0.8179101347923279, -2.3077969551086426, -0.611321210861206, -0.8894824385643005, -0.6385948061943054, -0.9687211513519287, -1.3139560222625732, -2.390702724456787, -0.1582605242729187, -0.7138965725898743, -2.131391763687134, -0.5180104970932007, -0.5161592364311218, -0.24332138895988464, -1.305762767791748, -0.1698542833328247, -0.3035237789154053, -0.6419424414634705, -0.5194897055625916, -0.30709850788116455, -0.07155913859605789, -0.000440262199845165, -0.6530635356903076, -1.112930178642273, -1.1321388483047485, -1.4180026054382324, -0.0030680273193866014]"
tqa:2d9b30a7be71,train,1,"[0.3382919430732727, 1.3112508058547974, 2.3244166374206543, 1.751200556755066, 2.156588554382324, 0.530655026435852, 0.63438880443573, 2.1439380645751953, 1.489247441291809, 0.5050778985023499, 1.3372550010681152, 0.42165184020996094, 0.026949023827910423, 0.7917566299438477, 0.027600759640336037, 0.02230794169008732, 1.2449817657470703, 0.0011967634782195091, 3.1081814765930176, 0.0414411760866642, 0.9035171270370483, 1.3283054828643799, 0.28160762786865234, 0.9887343049049377, 0.003998361527919769, 0.009693097323179245, 3.406148910522461, 0.25919684767723083, 0.015198716893792152, 0.0012417722027748823, 0.01605342887341976, 0.12833411991596222]","[-0.08080744743347168, -0.3919801712036133, -0.89190673828125, -0.8791646957397461, -0.8402352333068848, -0.239996075630188, -0.2575155198574066, -0.754516065120697, -0.5222490429878235, -0.15984530746936798, -0.9671927690505981, -0.07049119472503662, -0.003704829141497612, -0.8654642701148987, -0.0035632471553981304, -0.002721655648201704, -1.0208795070648193, -8.67805938469246e-05, -1.5863165855407715, -0.005063092336058617, -0.3439010977745056, -0.5896904468536377, -0.05210895463824272, -0.8312367796897888, -0.0002980979916173965, -0.0010157431242987514, -2.01798415184021, -0.05362376570701599, -0.00169955228921026, -0.0001003691868390888, -0.0017407278064638376, -0.019686898216605186]"
tqa:410ef58398c6,val,0,"[1.2835203409194946, 1.4657824039459229, 2.7127270698547363, 1.4083294868469238, 1.652289628982544, 0.9835982918739319, 0.7995952367782593, 2.9638094902038574, 0.42364221811294556, 0.21940307319164276, 0.9634370803833008, 0.19249436259269714, 0.023463385179638863, 2.3987183570861816, 0.44001275300979614, 0.09227576851844788, 0.8289192318916321, 1.847152829170227, 3.7169203758239746, 0.2702541947364807, 0.5807896852493286, 2.7158937454223633, 0.003995988517999649, 1.0656847953796387, 2.591601848602295, 0.029122766107320786, 1.2130320072174072, 2.75132417678833, 0.42034244537353516, 0.4319838881492615, 2.999880075454712, 0.6045740246772766]","[-0.5908541679382324, -0.7527903914451599, -1.5019866228103638, -0.6421716213226318, -0.42605113983154297, -0.27026358246803284, -0.15542574226856232, -1.5940347909927368, -0.0930333137512207, -0.03787488490343094, -0.6264414191246033, -0.02528136782348156, -0.002231609309092164, -0.9719787240028381, -0.07847863435745239, -0.013540801592171192, -0.41524404287338257, -0.5799001455307007, -1.6757972240447998, -0.04086486995220184, -0.14232753217220306, -1.1360840797424316, -0.00040165462996810675, -0.8751396536827087, -0.5010543465614319, -0.002380396705120802, -0.27771061658859253, -1.4085536003112793, -0.10704946517944336, -0.08024277538061142, -0.7029148936271667, -0.07798145711421967]"
tqa:62d655e6694a,train,1,"[0.3713153600692749, 0.005977395921945572, 0.7799439430236816, 1.558066964149475, 1.1457980871200562, 1.3058702945709229, 0.03394356742501259, 0.5858619213104248, 0.018641497939825058, 0.028577376157045364, 0.0291909147053957, 0.003165383590385318, 0.003288906067609787, 0.0019745281897485256, 1.0131168365478516, 3.0999794006347656, 2.2121357917785645, 2.559044361114502, 1.305257797241211, 0.0006056577549315989, 0.030011260882019997, 0.2357303351163864, 2.3223137855529785, 4.089071750640869, 1.8195756673812866, 0.6104190349578857, 2.318887233734131, 0.08119221776723862, 0.003091004677116871, 0.02594081684947014, 0.00011513059143908322, 0.782383382320404]","[-0.07371863722801208, -0.0005401106318458915, -0.22619494795799255, -0.9508416652679443, -0.33382534980773926, -0.8296213746070862, -0.004443296231329441, -0.09534022212028503, -0.0019449143437668681, -0.0032775276340544224, -0.003376974491402507, -0.00022754464589525014, -0.0002812943421304226, -0.0001599660754436627, -0.45647597312927246, -1.5356473922729492, -0.8335514068603516, -1.2998857498168945, -0.25931692123413086, -4.2199197196168825e-05, -0.0036551826633512974, -0.03489930182695389, -0.503014087677002, -1.3315852880477905, -0.7369977831840515, -0.3034706115722656, -0.8592947125434875, -0.015358630567789078, -0.00026925752172246575, -0.003790101269260049, -7.748573807475623e-06, -0.19250881671905518]"
tqa:a6737dd80e50,train,1,"[0.193365216255188, 0.9484170079231262, 3.57932186126709, 0.9522888660430908, 0.01369396410882473, 2.1473162174224854, 0.5587198734283447, 0.0018935863627120852, 0.021160472184419632, 2.2145752906799316, 1.7763527631759644, 0.07782015204429626, 0.002332111820578575, 2.0132017135620117, 1.65381920337677, 0.21265651285648346, 1.3838870525360107, 4.36115837097168, 0.04120960086584091, 2.2756011486053467, 2.2822659015655518, 0.84961998462677, 3.9491467475891113, 2.357593059539795, 1.711658000946045, 0.1471535861492157, 1.1628375053405762, 0.24256595969200134, 0.04023779183626175, 1.0171409845352173, 1.7873225212097168, 0.13537757098674774]","[-0.031163109466433525, -0.3172239363193512, -2.122390031814575, -0.8010416626930237, -0.0015626850072294474, -0.8155922293663025, -0.11858274042606354, -0.00017855956684798002, -0.0030504383612424135, -0.6689638495445251, -0.6270110011100769, -0.007567429915070534, -0.0002083561266772449, -0.6836854219436646, -0.49485620856285095, -0.034065134823322296, -1.1058239936828613, -1.7054946422576904, -0.003763380227610469, -0.9759807586669922, -0.8527299165725708, -0.13434001803398132, -1.454469919204712, -0.7236685156822205, -0.24064010381698608, -0.025531122460961342, -0.32248398661613464, -0.03535173833370209, -0.003853516187518835, -0.36299365758895874, -0.44703054428100586, -0.01594424620270729]"
tqa:5e051d25eb93,train,0,"[1.578174352645874, 2.8360702991485596, 1.354614019393921, 1.8698408603668213, 1.8912289142608643, 2.9285593032836914, 1.2059223651885986, 1.423607587814331, 1.6688315868377686, 2.152932643890381, 2.0525970458984375, 1.5679776668548584, 1.6387178897857666, 0.8595645427703857, 1.7119555473327637, 0.0005237042205408216, 2.413038492202759, 2.2621138095855713, 1.5457932949066162, 2.531033992767334, 1.056776762008667, 2.045013189315796, 0.0003065666533075273, 2.4795238971710205, 1.134364128112793, 2.423044204711914, 1.0940628051757812, 2.791815996170044, 0.058358363807201385, 2.9201865196228027, 2.564976215362549, 1.684870958328247]","[-0.8438440561294556, -1.002254843711853, -0.7059165239334106, -0.7391343116760254, -0.6664819121360779, -1.0625123977661133, -0.3538596034049988, -0.3401944935321808, -0.7590795159339905, -0.7030524015426636, -1.111724853515625, -0.5815688371658325, -0.8901221752166748, -0.18729306757450104, -1.0969631671905518, -3.290122185717337e-05, -0.7986725568771362, -1.090714931488037, -0.37866219878196716, -1.2816379070281982, -0.219182550907135, -1.2192513942718506, -1.680836794548668e-05, -1.1299504041671753, -0.4263436198234558, -0.6801599860191345, -0.7790938019752502, -0.6745071411132812, -0.005215016659349203, -1.1841601133346558, -0.8880389332771301, -0.32215631008148193]"
tqa:1a13c96852c0,train,0,"[0.011510675773024559, 0.8338791728019714, 0.2879505157470703, 0.051876313984394073, 0.00424237409606576, 0.9311829805374146, 0.48364055156707764, 2.0474610328674316, 0.29128047823905945, 0.8818534016609192, 0.6418612599372864, 0.540076494216919, 1.684800386428833, 0.1729251742362976, 0.9510675072669983, 0.11939042061567307, 0.7208861112594604, 0.15266676247119904, 0.8190047144889832, 0.11506301909685135, 0.0115453340113163, 1.0791211128234863, 0.4461367428302765, 2.1816015243530273, 1.7469067573547363, 3.4138033390045166, 0.47892794013023376, 1.9881279468536377, 1.2629269361495972, 0.2160647064447403, 1.5482220649719238, 1.070605754852295]","[-0.0010567086283117533, -0.5959813594818115, -0.06510994583368301, -0.005475642159581184, -0.00043704494601115584, -0.4517275094985962, -0.14203126728534698, -0.8070472478866577, -0.05367087945342064, -0.24109432101249695, -0.16697566211223602, -0.12207604199647903, -0.6169711351394653, -0.04192981868982315, -0.2527328431606293, -0.020035507157444954, -0.24927978217601776, -0.026491088792681694, -0.21597623825073242, -0.016892828047275543, -0.0013523490633815527, -0.847613513469696, -0.07424073666334152, -1.134537696838379, -0.8583466410636902, -1.3096461296081543, -0.09770636260509491, -0.8264896869659424, -0.28214097023010254, -0.03669334203004837, -0.841795802116394, -0.4691985249519348]"
tqa:03f8b5d84b55,train,1,"[0.26903992891311646, 2.344329833984375, 0.8586457967758179, 0.763617992401123, 2.831083059310913, 0.2071380615234375, 0.7891939282417297, 0.6777742505073547, 1.377992033958435, 1.0820246934890747, 3.4170708656311035, 0.02836390770971775, 2.37892484664917, 2.479099750518799, 1.0103187561035156, 3.8272457122802734, 2.2568588256835938, 1.272139310836792, 1.4974851608276367, 0.8096297383308411, 0.5683902502059937, 0.024557705968618393, 1.4231691360473633, 1.9680233001708984, 0.07771262526512146, 0.02564859576523304, 0.02407855913043022, 0.6811820268630981, 1.1138911247253418, 0.0129974614828825, 0.7441447377204895, 0.0005393901374191046]","[-0.07892753183841705, -1.023903727531433, -0.3528355062007904, -0.2064332813024521, -1.1611484289169312, -0.0350581556558609, -0.3036811053752899, -0.18993781507015228, -0.43903645873069763, -0.7341060042381287, -0.8278518319129944, -0.0023247378412634134, -0.7782309651374817, -0.993894100189209, -0.17300474643707275, -1.5273557901382446, -1.2130695581436157, -0.2583949565887451, -0.3556801974773407, -0.16176186501979828, -0.08614141494035721, -0.0021105175837874413, -0.534715473651886, -0.626008152961731, -0.009748944081366062, -0.0033759051002562046, -0.00316226645372808, -0.5113402605056763, -0.7508454918861389, -0.0014099667314440012, -0.3468942642211914, -3.8265450712060556e-05]"
